year,restaurants_and_hotels,education,healthcare_and_socials,construction_industry,processing_industry,overall,mining,finances_and_insurances,restaurants_and_hotels_inf,restaurants_and_hotels_inf_adj,education_inf,education_inf_adj,healthcare_and_socials_inf,healthcare_and_socials_inf_adj,construction_industry_inf,construction_industry_inf_adj,processing_industry_inf,processing_industry_inf_adj,overall_inf,overall_inf_adj,mining_inf,mining_inf_adj,finances_and_insurances_inf,finances_and_insurances_inf_adj,restaurants_and_hotels_in_dollars,education_in_dollars,healthcare_and_socials_in_dollars,construction_industry_in_dollars,processing_industry_in_dollars,overall_in_dollars,mining_in_dollars,finances_and_insurances_in_dollars
2000,1640,1240,1333,2640,2365,2223,5940,5232,1640,17838,1240,13487,1333,14499,2640,28713,2365,25723,2223,24178,5940,64603,5232,56902,59,44,48,94,84,79,212,187
2001,2404,1833,1960,3859,3447,3240,9099,8885,1918,20862,1463,15912,1564,17011,3079,33488,2751,29921,2586,28126,7261,78970,7090,77109,82,63,67,132,118,111,312,305
2002,3039,2927,3141,4807,4439,4360,11081,13246,1975,21482,1902,20687,2041,22199,3123,33966,2884,31368,2833,30813,7200,78306,8606,93596,97,93,100,153,141,138,352,421
2003,3967,3387,3663,6177,5603,5499,13912,15561,2189,23809,1869,20328,2022,21993,3409,37077,3092,33630,3035,33010,7678,83505,8588,93400,130,111,120,202,183,180,456,510
2004,4737,4203,4612,7305,6849,6740,16842,17384,2301,25028,2041,22199,2240,24364,3548,38589,3327,36186,3274,35609,8180,88965,8444,91834,164,145,159,252,236,233,581,600
2005,6033,5430,5906,9043,8421,8555,19727,22464,2586,28128,2328,25321,2532,27540,3877,42167,3610,39264,3667,39884,8457,91977,9630,104733,212,191,208,318,296,301,694,790
2006,7522,6983,8060,10869,10199,10634,23145,27886,2873,31249,2667,29008,3078,33478,4151,45147,3895,42364,4061,44169,8840,96143,10650,115826,279,259,299,404,379,395,859,1035
2007,9339,8778,10037,14333,12879,13593,28108,34880,3246,35306,3051,33184,3488,37938,4981,54174,4476,48683,4724,51380,9769,106247,12122,131835,363,341,390,557,501,528,1093,1356
2008,11536,11317,13049,18574,16050,17290,33206,41872,3533,38428,3466,37698,3997,43474,5689,61874,4916,53468,5296,57601,10171,110619,12825,139481,472,463,534,760,657,708,1359,1714
2009,12470,13294,14820,18122,16583,18638,35363,42373,3312,36024,3531,38405,3936,42811,4814,52358,4405,47911,4951,53849,9393,102157,11255,122406,397,424,472,578,529,594,1127,1351
2010,13466,14075,15724,21172,19078,20952,39895,50120,3262,35480,3410,37089,3809,41429,5129,55784,4622,50271,5075,55197,9664,105105,12141,132042,442,462,516,695,626,687,1309,1645
2011,14693,15809,17545,23682,21781,23369,45132,55789,3247,35317,3493,37992,3877,42169,5233,56915,4813,52348,5164,56165,9973,108465,12328,134075,507,546,606,818,752,807,1559,1927
2012,16631,18995,20641,25951,24512,26629,50401,58999,3451,37536,3941,42864,4283,46585,5385,58568,5086,55317,5525,60092,10458,113740,12242,133140,534,610,663,833,787,855,1618,1895
2013,18304,23458,24439,27701,27045,29792,54161,63333,3548,38591,4547,49456,4737,51523,5370,58405,5242,57014,5775,62811,10499,114186,12277,133521,569,730,760,861,841,926,1684,1970
2014,19759,25862,27068,29354,29511,32495,58959,68565,3583,38972,4690,51011,4908,53383,5323,57894,5351,58200,5893,64094,10692,116285,12433,135217,549,719,753,816,821,904,1639,1907
2015,20626,26928,28179,29960,31910,34030,63695,70088,3315,36057,4328,47074,4529,49261,4816,52380,5129,55785,5470,59494,10238,111347,11266,122525,329,430,450,478,509,543,1016,1118
2016,22041,28088,29742,32332,34592,36709,69936,80289,3085,33555,3932,42767,4163,45280,4526,49226,4842,52663,5139,55894,9790,106475,11239,122232,339,432,458,497,532,565,1076,1235
2017,23971,30258,31980,33678,38502,39167,74474,84904,3175,34534,4008,43593,4236,46074,4461,48519,5100,55470,5188,56426,9865,107291,11246,122308,411,519,548,578,660,672,1277,1456
2018,26241,34361,40027,38518,40722,43724,83178,91070,3388,36851,4437,48259,5168,56211,4973,54087,5258,57188,5646,61408,10740,116807,11759,127887,416,544,634,610,645,693,1317,1442
2019,28191,37072,43122,42630,43855,47867,89344,103668,3485,37906,4582,49836,5330,57973,5269,57307,5421,58961,5917,64355,11043,120102,12814,139361,437,575,668,661,680,742,1385,1607
2020,27411,39563,49532,44738,46510,51344,95359,112680,3285,35730,4741,51566,5936,64564,5361,58307,5574,60625,6153,66922,11427,124279,13503,146854,373,538,673,608,632,698,1296,1531
2021,33225,43391,50690,51944,52410,57244,103474,130223,3786,41180,4944,53774,5776,62824,5919,64376,5972,64954,6523,70946,11791,128238,14839,161384,451,590,689,706,712,778,1406,1769
2022,37572,48400,55420,60850,60439,65338,118376,146637,3922,42659,5052,54948,5785,62922,6352,69085,6309,68619,6821,74188,12357,134393,15307,166474,609,784,898,986,980,1059,1918,2376
2023,43192,54263,61486,68944,71273,73709,130826,169106,3971,43192,4989,54263,5653,61486,6339,68944,6553,71273,6777,73709,12029,130826,15549,169106,487,612,694,778,804,832,1476,1908
